page,kind,slug,status,old_url,new_url,source_file,optimized_file,source_mb,optimized_mb,note
hotels/abyrlash-otel/index.html,hotels,abyrlash-otel,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/abyrlash-otel/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/abyrlash-otel/video-01-1800k.mp4,media/videos/hotels/abyrlash-otel/video-01-source.mp4,media/videos/hotels/abyrlash-otel/video-01-1800k.mp4,24.16,9.54,source url replaced
hotels/abyrlash-otel-na-plyazhe-3239/index.html,hotels,abyrlash-otel-na-plyazhe-3239,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/abyrlash-otel-na-plyazhe-3239/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/abyrlash-otel-na-plyazhe-3239/video-01-1800k.mp4,media/videos/hotels/abyrlash-otel-na-plyazhe-3239/video-01-source.mp4,media/videos/hotels/abyrlash-otel-na-plyazhe-3239/video-01-1800k.mp4,24.16,9.54,source url replaced
hotels/aisha-otel-s-basseynami-2651/index.html,hotels,aisha-otel-s-basseynami-2651,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/aisha-otel-s-basseynami-2651/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/aisha-otel-s-basseynami-2651/video-01-1800k.mp4,media/videos/hotels/aisha-otel-s-basseynami-2651/video-01-source.mp4,media/videos/hotels/aisha-otel-s-basseynami-2651/video-01-1800k.mp4,24.21,9.34,source url replaced
hotels/akva-otel-basseyn-zavtraki/index.html,hotels,akva-otel-basseyn-zavtraki,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/akva-otel-basseyn-zavtraki/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/akva-otel-basseyn-zavtraki/video-01-1800k.mp4,media/videos/hotels/akva-otel-basseyn-zavtraki/video-01-source.mp4,media/videos/hotels/akva-otel-basseyn-zavtraki/video-01-1800k.mp4,23.73,9.21,source url replaced
hotels/akva-otel-s-basseynom-i-zavtrakami-3114/index.html,hotels,akva-otel-s-basseynom-i-zavtrakami-3114,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/akva-otel-s-basseynom-i-zavtrakami-3114/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/akva-otel-s-basseynom-i-zavtrakami-3114/video-01-1800k.mp4,media/videos/hotels/akva-otel-s-basseynom-i-zavtrakami-3114/video-01-source.mp4,media/videos/hotels/akva-otel-s-basseynom-i-zavtrakami-3114/video-01-1800k.mp4,23.73,9.21,source url replaced
hotels/alma-domiki/index.html,hotels,alma-domiki,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/alma-domiki/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/alma-domiki/video-01-1800k.mp4,media/videos/hotels/alma-domiki/video-01-source.mp4,media/videos/hotels/alma-domiki/video-01-1800k.mp4,32.47,13.33,source url replaced
hotels/alma-domiki-na-beregu-2996/index.html,hotels,alma-domiki-na-beregu-2996,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/alma-domiki-na-beregu-2996/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/alma-domiki-na-beregu-2996/video-01-1800k.mp4,media/videos/hotels/alma-domiki-na-beregu-2996/video-01-source.mp4,media/videos/hotels/alma-domiki-na-beregu-2996/video-01-1800k.mp4,32.47,13.34,source url replaced
hotels/amor-apartamenty/index.html,hotels,amor-apartamenty,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-apartamenty/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-apartamenty/video-01-1800k.mp4,media/videos/hotels/amor-apartamenty/video-01-source.mp4,media/videos/hotels/amor-apartamenty/video-01-1800k.mp4,12.21,4.69,source url replaced
hotels/amor-apartamenty-s-kuhney-i-basseynom-3487/index.html,hotels,amor-apartamenty-s-kuhney-i-basseynom-3487,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-apartamenty-s-kuhney-i-basseynom-3487/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-apartamenty-s-kuhney-i-basseynom-3487/video-01-1800k.mp4,media/videos/hotels/amor-apartamenty-s-kuhney-i-basseynom-3487/video-01-source.mp4,media/videos/hotels/amor-apartamenty-s-kuhney-i-basseynom-3487/video-01-1800k.mp4,12.21,4.69,source url replaced
hotels/amor-domiki-gagra/index.html,hotels,amor-domiki-gagra,updated,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-domiki-gagra/video-01-1800k.mp4,https://chnyazvybzzryduhgopa.supabase.co/storage/v1/object/public/site-media/videos/hotels/amor-domiki-gagra/video-01-1800k.mp4,media/videos/hotels/amor-domiki-gagra/video-01-source.mp4,media/videos/hotels/amor-domiki-gagra/video-01-1800k.mp4,6.32,2.29,source url replaced
