Сверка блока ЦЕНЫ: Telegram (parse_post) ↔ HTML (.price-card__seasons / __notes)

Квартиры: {'OK': 59}

=== КВАРТИРЫ ===
- afina-kvartira-2k-1488 (@abhkvartira/1488): OK (tg=2, site=2, notes_diff=False)
- akirtava-kvartira-3k-suhum-931 (@abhkvartira/923): OK (tg=4, site=4, notes_diff=False)
- akvamarin-dom-pod-klyuch-ldzaa-1313 (@abhkvartira/1305): OK (tg=6, site=6, notes_diff=False)
- amina-dom-suhum-921 (@abhkvartira/912): OK (tg=7, site=7, notes_diff=False)
- amor-apartamenty-studiya-gagra-1322 (@abhkvartira/1314): OK (tg=4, site=4, notes_diff=False)
- anisa-kvartira-1k-ldzaa-910 (@abhkvartira/902): OK (tg=5, site=5, notes_diff=False)
- argo-kvartira-1k-pitsunda-940 (@abhkvartira/932): OK (tg=8, site=8, notes_diff=False)
- aselina-studiya-i-kottedzhi-s-kuhney-ldzaa-989 (@abhkvartira/977): OK (tg=9, site=9, notes_diff=False)
- atmosfernaya-kvartira-2k-1454 (@abhkvartira/1454): OK (tg=6, site=6, notes_diff=False)
- bi-heppi-kottedzh-suhum-1130 (@abhkvartira/1121): OK (tg=5, site=5, notes_diff=False)
- biryuza-etazh-pod-klyuch-gagra-1367 (@abhkvartira/1359): OK (tg=6, site=6, notes_diff=False)
- chernomorskaya-kvartira-suhum-1201 (@abhkvartira/1185): OK (tg=5, site=5, notes_diff=False)
- dyshi-glubzhe-domiki-v-gorah-1335 (@abhkvartira/1326): OK (tg=3, site=3, notes_diff=False)
- esma-studiya-5ti-mestnaya-gudauta-1355 (@abhkvartira/1348): OK (tg=6, site=6, notes_diff=False)
- feniks-dom-na-bolshuyu-semyu-ldzaa-1282 (@abhkvartira/1276): OK (tg=12, site=12, notes_diff=False)
- flora-dom-alahadze-1163 (@abhkvartira/1154): OK (tg=6, site=6, notes_diff=False)
- greys-kvartira-1564 (@abhkvartira/1564): OK (tg=2, site=2, notes_diff=False)
- kamilla-kvartira-2k-pitsunda-968 (@abhkvartira/960): OK (tg=6, site=6, notes_diff=False)
- karalina-apartamenty-studiya-pitsunda-1274 (@abhkvartira/1265): OK (tg=7, site=7, notes_diff=False)
- kiparisovaya-kvartira-1k-gagry-976 (@abhkvartira/969): OK (tg=5, site=5, notes_diff=False)
- klassika-kvartira-3k-ldzaa-1303 (@abhkvartira/1295): OK (tg=7, site=7, notes_diff=False)
- kurortnaya-kvartira-2k-bagripsh-gagra-998 (@abhkvartira/990): OK (tg=7, site=7, notes_diff=False)
- ladariya-kvartira-1k-1542 (@abhkvartira/1542): OK (tg=1, site=1, notes_diff=False)
- letnyaya-kvartira-3k-suhum-1377 (@abhkvartira/1369): OK (tg=5, site=5, notes_diff=False)
- magnoliya-kvartira-3k-gagra-1253 (@abhkvartira/1244): OK (tg=8, site=8, notes_diff=False)
- mandarinovyy-dvorik-dom-pod-klyuch-novyy-afon-1440 (@abhkvartira/1431): OK (tg=8, site=8, notes_diff=False)
- mechta-apartamenty-ldzaa-1176 (@abhkvartira/1168): OK (tg=13, site=13, notes_diff=False)
- melana-kvartira-3k-pitsunda-1015 (@abhkvartira/1007): OK (tg=4, site=4, notes_diff=False)
